Name	Set	ImageFile	Variety	Rarity	Type	Color	Lv	Grow Cost	Cost	Limit	Power	Restriction	[Guard]	Script	Burst	Text
Kogenbu, Phantom Beast	Green Wanna	WD04-013	SIGNI	ST	Living Spirit: Earth Beast	G	2				3000	Midoriko Only				{Constant} Whenever this SIGNI attacks, if this SIGNI's power is 5000 or more, move the top card of your deck to your Ener Zone.
Pandan, Phantom Beast	Green Wanna	WD04-014	SIGNI	ST	Living Spirit: Earth Beast	G	1				2000	Midoriko Only			Draw a card.	{On-Play} Until the end of this turn, one of your SIGNI gets +2000 power.
Hyakko, Phantom Beast	Green Wanna	WD04-015	SIGNI	ST	Living Spirit: Earth Beast	G	1				1000	Midoriko Only				{Constant} Whenever this SIGNI attacks, if this SIGNI's power is 3000 or more, move the top card of your deck to your Ener Zone.
Servant Q2	Green Wanna	WD04-016	SIGNI	ST	Origin Spirit	C	4				10000		Yes			[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Servant O2	Green Wanna	WD04-017	SIGNI	ST	Origin Spirit	C	1				1000		Yes			[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Fallen	Green Wanna	WD04-018	Spell	ST		G			1G							Move one of your SIGNI from the Up position to the Down position. If you do, banish one of your opponent's SIGNI with a power equal to or lesser than the SIGNI that was moved Down in this manner.
Ulith, Jailer Enma	Black Desire	WD05-001,white	LRIG	ST	Ulith	B	4	3B		11						"{Constant} As long as ""Metsum, Fallen Cannon Girl"" exists on your side of the field, when you have 20 or more cards in your trash, all of your SIGNI get +2000 power."
Ulith, Enma of Eternal Hell	Black Desire	WD05-002,white	LRIG	ST	Ulith	B	3	2B		8						
Ulith, Enma of Crushing Hell	Black Desire	WD05-003,white	LRIG	ST	Ulith	B	2	1B		5						
Ulith, Burning Eye Enma	Black Desire	WD05-004,white	LRIG	ST	Ulith	B	1	0B		2						
Ulith, Enma	Black Desire	WD05-005,white	LRIG	ST	Ulith	B	0	0B		0						
Moment Punish	Black Desire	WD05-006,white	ARTS	ST		B			2B							[Timing: Main Phase] Until the end of this turn, one of your opponent's SIGNI gets -7000 power. (SIGNI with a power of 0 or less are banished.)
Eternal Banish	Black Desire	WD05-007,white	ARTS	ST		B			3B							[Timing: Main Phase] Until the end of this turn, one of your opponent's SIGNI gets -15000 power. (SIGNI with a power of 0 or less are banished.)
Grave Out	Black Desire	WD05-008,white	ARTS	ST		B			5B			Ulith Only		<s><l>Search trash</l><f>/vp2at40</f></s>		[Timing: Main Phase] Add up to three SIGNI from your trash to your hand.
Metsum, Fallen Cannon Girl	Black Desire	WD05-009	SIGNI	ST	Image Spirit: Devil	B	4				12000	Ulith Only		<s><l>Search trash</l><f>/vp2at40</f></s>	Add one card from your trash to your hand.	{On-Play} All players move the top 7 cards of their decks to their trash.
Belze, Symbol of Wasteful Evil	Black Desire	WD05-010	SIGNI	ST	Image Spirit: Devil	B	3				10000					
Carry, Fallen Cannon Girl	Black Desire	WD05-011	SIGNI	ST	Image Spirit: Devil	B	3				7000	Ulith Only			Draw a card.	{Constant} As long as there are 10 or more cards in your trash, this SIGNI gets +5000 power.
Cosmo, Symbol of Immorality	Black Desire	WD05-012	SIGNI	ST	Image Spirit: Devil	B	2				7000					
Kooni, Symbol of Lesser Sin	Black Desire	WD05-013	SIGNI	ST	Image Spirit: Devil	B	1				3000					
Succu, Cannon Girl of Corruption	Black Desire	WD05-014	SIGNI	ST	Image Spirit: Devil	B	1				1000	Ulith Only				{On-Play} Move the top three cards of your deck to your trash.
Servant D	Black Desire	WD05-015	SIGNI	ST	Origin Spirit	C	2				5000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Servant O	Black Desire	WD05-016	SIGNI	ST	Origin Spirit	C	1				2000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Hole Dark	Black Desire	WD05-017	Spell	ST		B			1B							Until the end of the turn, one of your opponent's SIGNI get -4000 power. (SIGNI with a power of 0 or less are banished.)
Recalled Blessing	Black Desire	WD05-018	Spell	ST		C			2C					<s><l>Search trash</l><f>/vp2at40</f></s>	Add one SIGNI from your trash to your hand.	Add one SIGNI from your trash to your hand.
Eldora=Mark IV'	Blue Request	WD06-001,white	LRIG	ST	Eldora	U	4	3U		11						{Constant} Each time your Life Burst is triggered, you may draw a card. || {Constant} Each time a card is added to your Life Cloth, you may pay 3U. If you do, banish a SIGNI.
Eldora=Mark III'	Blue Request	WD06-002,white	LRIG	ST	Eldora	U	3	2U		7				<s><l>Look at top 2 of LC</l><f>/vp5pt2</f></s>		{On-Play} Look at the top two cards of your Life Cloth, then put them back in any order.
Eldora=Mark II'	Blue Request	WD06-003,white	LRIG	ST	Eldora	U	2	1U		4						{Constant} All of your blue SIGNI get +1000 power.
Eldora=Mark I'	Blue Request	WD06-004,white	LRIG	ST	Eldora	U	1	0U		1						{On-Play} Discard a card from your hand. Draw a card.
Eldora=Mark 0	Blue Request	WD06-005,white	LRIG	ST	Eldora	U	0	0U		0						
Cloth Crush Flash	Blue Request	WD06-006,white	ARTS	ST		U			1U1C			Eldora Only				[Timing: Main Phase] Your opponent reveals the top card of their Life Cloth. If the card has no Life Burst, put it into the trash.
Surprise With Me	Blue Request	WD06-007,white	ARTS	ST		U			0U			Eldora Only		<s><l>Look at top 4 of LC</l><f>/vp5pt4</f></s>		[Timing: Main Phase; Attack Phase] Look at up to four cards from the top of your Life Cloth. Then, put them back in any order.
But Any Other	Blue Request	WD06-008,white	ARTS	ST		U			3U					<s><l>Reveal top of LC</l><f>/vp5pt1</f></s>		[Timing: Attack Phase] Declare a number. Reveal the top card of your Life Cloth. If it is a SIGNI with the same level as the declared number, your Life Cloth can't be crushed this turn. At the end of the turn, put the top card of your Life Cloth into the trash.
Scylla, Water Phantom	Blue Request	WD06-009	SIGNI	ST	Living Spirit: Water Beast	U	4				12000	Eldora Only			Draw 2 cards. Then, discard 1 card from your hand.	{Constant} As long as you have less Life Cloth than your opponent, all of your SIGNI get +1000 power. || {On-Play} (1U) Crush one of your Life Cloth, If the card that was put into the Check Zone this way is put into the Ener Zone, put that card into your trash instead and add the top card of your deck to your Life Cloth.
Octo, Water Phantom	Blue Request	WD06-010	SIGNI	ST	Living Spirit: Water Beast	U	3				8000					{Constant} As long as there is another <Water Beast> SIGNI on your side of the field, this SIGNI's power is 12000.
Ryuuguu, Water Phantom	Blue Request	WD06-011	SIGNI	ST	Living Spirit: Water Beast	U	3				7000	Eldora Only			Add one of your Life Cloth to your hand. If you do, add the top card of your deck to your Life Cloth.	{Action} (Down) Add the top card of your Life Cloth to your hand. If you do, add the top card of your deck to your Life Cloth.
Pearl, Water Phantom	Blue Request	WD06-012	SIGNI	ST	Living Spirit: Water Beast	U	2				5000					{Constant} As long as there is another <Water Beast> SIGNI on your side of the field, this SIGNI's power is 8000.
Chouan, Water Phantom	Blue Request	WD06-013	SIGNI	ST	Living Spirit: Water Beast	U	2				3000	Eldora Only				{On-Play} Put the top card of your Life Cloth in the trash. Add the top card of your deck to your Life Cloth.
Kozame, Water Phantom	Blue Request	WD06-014	SIGNI	ST	Living Spirit: Water Beast	U	1				2000					{Constant} As long as there is another <Water Beast> SIGNI on your side of the field, this SIGNI's power is 5000.
Una, Water Phantom	Blue Request	WD06-015	SIGNI	ST	Living Spirit: Water Beast	U	1				1000	Eldora Only				[On-Play} Look at the top card of your Life Cloth.
Servant Q	Blue Request	WD06-016	SIGNI	ST	Origin Spirit	C	4				12000		Yes			[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Servant O	Blue Request	WD06-017	SIGNI	ST	Origin Spirit	C	1				2000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
PLUS RUSH	Blue Request	WD06-018	Spell	ST		U			0U			Eldora Only			Search your deck for a SIGNI with Life Burst, reveal it, and add it to your hand. Then shuffle your deck.	Look at the top of your opponent's Life Cloth. You may put it into the trash. If you do, your opponent adds the top card of their deck to their Life Cloth. Draw a card.
Iona, Full/Maiden	Black Crave	WD07-001.png,white	LRIG	ST	Iona	B	4	2B1W		11						{Constant} Your opponent's SIGNI must attack if able. || {Constant} As long as you have a black and a white SIGNI on the field, all of your opponents SIGNI get -2000 power. || {Action} (1B, discard a black and white SIGNI from your hand) Put one of your opponent's SIGNI into the trash.
Iona, Pale/Maiden	Black Crave	WD07-002.png,white	LRIG	ST	Iona	B	3	1B1W		7						{Constant} Your opponent's SIGNI must attack if able. || {On-Play} (1B) Until end of turn, all of your opponent's SIGNI get -2000 power.
Iona, Half/Maiden	Black Crave	WD07-003.png,white	LRIG	ST	Iona	B	2	1B		4						{Constant} Your opponent's SIGNI must attack if able. || {Constant} As long as you have a black and a white SIGNI on the field, all of your SIGNI get +1000 power.
Iona, Crescent/Maiden	Black Crave	WD07-004.png,white	LRIG	ST	Iona	B	1	0B		1						{Constant} Your opponent's SIGNI must attack if able.
Iona, Zero/Maiden	Black Crave	WD07-005.png,white	LRIG	ST	Iona	B	0	0B		0						
Grave Night	Black Crave	WD07-006.png,white	ARTS	ST		B			1B					<s><l>Search deck</l><f>/vp1pt40</f></s>		[Timing: Main Phase] Search your deck for up to three SIGNI with different levels and put them into the trash. Then shuffle your deck.
Black Crisis	Black Crave	WD07-007.png,white	ARTS	ST		B			1B1W			Iona Only		<s><l>Search deck</l><f>/vp1pt40</f></s> <s><l>Search trash</l><f>/vp2at40</f></s>		[Timing: Main Phase] Put the top four cards of your deck into the trash. If there is a black card, add 1 black SIGNI from your trash to your hand. If there is a white card, search your deck for 1 white SIGNI, and add it to your hand. Then shuffle your deck.
Death Beam	Black Crave	WD07-008,white	ARTS	ST		B			2B2W			Iona Only				[Timing: Main Phase; Attack Phase] Banish one of your opponent's SIGNI.
Code Maze Pyramid	Black Crave	WD07-009	SIGNI	ST	Machine Spirit: Labyrinth	W	3				7000	Iona Only		<s><l>Look at top 3 cards</><f>/vp1pt3</f></s>	Search your deck for a black SIGNI, reveal it, and add it to your hand. Then shuffle your deck.	{Constant} When your opponent places a SIGNI, it has to be placed in front of this SIGNI if able. || {Action} (Down) Look at the top three cards of your deck. Reveal one black or white SIGNI from among them and add it to your hand. Then return the remaining cards to the top of your deck in any order.
Code Maze Babel	Black Crave	WD07-010	SIGNI	ST	Machine Spirit: Labyrinth	W	2				3000	Iona Only		<s><l>Search deck</l><f>/vp1pt40</f></s>	Draw a card.	{Constant} When your opponent places a SIGNI, it has to be placed in front of this SIGNI if able. || {Action} (Discard a card, Down) Search your deck for a level 3 or less black SIGNI, reveal it, and add it to your hand. Then shuffle your deck.
Code Maze Triumph	Black Crave	WD07-011	SIGNI	ST	Machine Spirit: Labyrinth	W	1				1000	Iona Only		<s><l>Search deck</l><f>/vp1pt40</f></s>	Draw a card.	{Constant} When your opponent places a SIGNI, it has to be placed in front of this SIGNI if able. || {Action} (Discard a card, Down) Search your deck for a level 2 or less black SIGNI, reveal it , and add it to your hand. Then shuffle your deck.
Code Anti Vimana	Black Crave	WD07-012	SIGNI	ST	Machine Spirit: Ancient Weapon	B	4				12000	Iona Only			Until end of turn, one of your opponent's SIGNI gets -10000 power.	{Constant} When your opponent's SIGNI attacks, if the SIGNI's power is lower than the power of the SIGNI in front of it, banish the SIGNI that attacked. || {On-Play} Put four <Ancient Weapon> SIGNI with different levels in your trash to the bottom of your deck in any order. If you do, one of your opponent's SIGNI gets -10000 power.
Code Anti Iron	Black Crave	WD07-013	SIGNI	ST	Machine Spirit: Ancient Weapon	B	3				8000					{Constant} As long as you have another <Ancient Weapon SIGNI on the field, this SIGNI's power is 12000.
Code Anti Moa	Black Crave	WD07-014	SIGNI	ST	Machine Spirit: Ancient Weapon	B	2				5000					{Constant} As long as you have another <Ancient Weapon SIGNI on the field, this SIGNI's power is 8000.
Code Anti Clay	Black Crave	WD07-015	SIGNI	ST	Machine Spirit: Ancient Weapon	B	1				2000					{Constant} As long as you have another <Ancient Weapon SIGNI on the field, this SIGNI's power is 5000.
Servant Q2	Black Crave	WD07-016	SIGNI	ST	Origin Spirit	C	4				10000		Yes			[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Servant O2	Black Crave	WD07-017.png	SIGNI	ST	Origin Spirit	C	1				1000		Yes			[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Slash Miracle	Black Crave	WD07-018	Spell	ST		B			1B1W						Choose one of the following: {1} Search your deck for a white SIGNI and put it onto the field. Then shuffle your deck. {2} Put a balck SIGNI from your trash into play.	Choose one of the following: {1} Search your deck for a SIGNI, reveal it, and add it to your hand. Then shuffle your deck. {2} Until end of turn, one of your opponent's SIGNI gets -8000 power.
Umuru=Fyra, Wielder of the Key of Chaos	Black Will	WD08-001,white	LRIG	ST	Umuru	B	4	3B		11				<s><l>Search trash</l><f>/vp2at40</f></s>		{On-Play} The action of ability of one SIGNI in your trash, until end of turn, costs 0B the next time it is used. || {Action} (0B) Put the top three cards of your deck into the trash. This ability can only be used once per turn. || {Action} (Down) Put one SIGNI from your trash into play.
Umuru=Tre, Wielder of the Key of Chaos	Black Will	WD08-002,white	LRIG	ST	Umuru	B	3	2B		8						
Umuru=Tva, Wielder of the Key of Chaos	Black Will	WD08-003,white	LRIG	ST	Umuru	B	2	1B		5						
Umuru=Ett, Wielder of the Key of Chaos	Black Will	WD08-004,white	LRIG	ST	Umuru	B	1	0B		2						
Umuru=Noll, Wielder of the Key of Chaos	Black Will	WD08-005,white	LRIG	ST	Umuru	B	0	0B		0						
Ancient Surprise	Black Will	WD08-006,white	ARTS	ST		B			1B2C							[Timing: Main Phase; Attack Phase] Choose one of the following: {1} All players put the top 7 cards of their deck into the trash. {2} Put a level 3 or lower <Ancient Weapon> SIGNI into play from your trash. {3} If there are 10 or more cards in your trash, all of your opponent's SIGNI gets -5000 power. If there are 20 or more cards in your trash, instead, until end of turn, all of your opponent's SIGNI get -8000 power.
Ancient Digger	Black Will	WD08-007,white	ARTS	ST		B			1B			Umuru Only				[Timing: Main Phase] Put one <Ancient Weapon> SIGNI into play from your trash.
Ancient Return	Black Will	WD08-008,white	ARTS	ST		B			2B							[Timing: Main Phase] Put the top five cards of your deck into the trash. If at least three of these cards share a common class, choose that class. Then, add up to two SIGNI of the chosen class from your trash to your hand.
Code Anti Nessie	Black Will	WD08-009	SIGNI	ST	Machine Spirit: Ancient Weapon	B	4				12000	Umuru Only			Until end of turn, one of your opponent's SIGNI gets -10000 power.	{Constant} When one of your SIGNI is played from the trash, you may pay 2B. If you do, banish one of your opponent's SIGNI. || {Action} (2B1C) Until end of turn, one of your opponent's SIGNI gets -8000 power. Put this SIGNI at the bottom of your deck. This ability can only be used if this SIGNI is in your trash.
Code Anti Nebra	Black Will	WD08-010	SIGNI	ST	Machine Spirit: Ancient Weapon	B	3				8000			<s><l>Search trash</l><f>/vp2at40</f></s>		{Action} (BB) Play this SIGNI from your trash to the field. (This ability can only be used when this SIGNI is in the trash.)
Code Anti Assylen	Black Will	WD08-011	SIGNI	ST	Machine Spirit: Ancient Weapon	B	3				7000	Umuru Only				{On-Play} Return four <Ancient Weapon> SIGNI with different levels in your trash to the bottom of your deck in any order. If you do, draw a card.
Code Anti Aztec	Black Will	WD08-012	SIGNI	ST	Machine Spirit: Ancient Weapon	B	2				3000					{On-Play} Put one level 1 <Ancient Weapon> SIGNI into play from your trash. At the end of the turn, put that SIGNI into the trash.
Code Anti Cabrera	Black Will	WD08-013	SIGNI	ST	Machine Spirit: Ancient Weapon	B	2				5000	Umuru Only				{Constant} As long as there are three or more <Ancient Weapon> SIGNI in your trash, this SIGNI's power is 8000.
Code Anti Texahammer	Black Will	WD08-014	SIGNI	ST	Machine Spirit: Ancient Weapon	B	1				1000				Draw one card.	When this SIGNI is sent to the trash from your deck, you may play it to the field.
Code Anti Voyni	Black Will	WD08-015	SIGNI	ST	Machine Spirit: Ancient Weapon	B	1				1000	Umuru Only			Draw one card.	{Action} (Down) Put the top three cards of your deck into the trash. If three <Ancient Weapon> SIGNI were put into the trash this way, draw a card.
Servant T	Black Will	WD08-016	SIGNI	ST	Origin Spirit	C	3				8000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Servant D	Black Will	WD08-017	SIGNI	ST	Origin Spirit	C	2				5000		Yes		Ener Charge 1	[Guard]: Discard this card to negate a LRIG's attack once. || {Constant} [Multi-Ener]: When paying a cost, this card may count as any color.
Grave Pain	Black Will	WD08-018	Spell	ST		B			0B			Umuru Only				Banish one of your SIGNI. If you do, put the top five cards of your deck into the trash.
Tamayorihime, Sun Miko	Served Selector	WX01-001,white	LRIG	LR	Tama	W	4	3W		11						{Action}: (W, Discard a white SIGNI from your hand) Return one of your opponent's SIGNI to their hand.
